time,seconds_elapsed,z,y,x
1761315707471947800,0.07394775390625,-0.5724111806541681,0.015648527769744396,-0.2540966704154387
1761315707481929700,0.0839296875,-0.5808908397078514,-0.008971826484799385,-0.22994645442329345
1761315707491912700,0.09391259765625,-0.6100877080976963,-0.054019759479165076,-0.25281749905878675
1761315707501894700,0.103894775390625,-0.5726707083731889,-0.04484627294242382,-0.27941251438716425
1761315707511876600,0.113876708984375,-0.5290922634094953,-0.010065613070875406,-0.2448331309750676
1761315707521859600,0.123859619140625,-0.474528314051032,-0.009605740474164485,-0.17900365470405666
1761315707531841800,0.133841796875,-0.3993272348552942,-0.011674071180820464,-0.11983042145185172
1761315707541823700,0.14382373046875,-0.3250841870367527,-0.015420856493711471,-0.09824216490220278
1761315707551806700,0.153806640625,-0.20967852322459218,-0.008569821555167436,-0.08029358002915978
1761315707561788700,0.16378857421875,-0.10694704754650593,-0.01610796197503805,-0.07162055382784456
1761315707571770600,0.1737705078125,-0.1130699143409729,-0.06413461851924658,-0.07758404707582667
1761315707581753900,0.18375390625,-0.1699199288100004,-0.10293605833947658,-0.08099528029141947
1761315707591735600,0.193735595703125,-0.1912830348342657,-0.08758709803819656,-0.07252080886950715
1761315707601717800,0.2037177734375,-0.19416355870664118,-0.047279199177771805,-0.0573636630795896
1761315707611700700,0.21370068359375,-0.22141104659438132,-0.07121697799563408,-0.05768978976141661
1761315707621682700,0.2236826171875,-0.26465280694961546,-0.1410173671916127,-0.056409047502186144
1761315707631664600,0.23366455078125,-0.25283143625259397,-0.15898966173380613,-0.09111887062722816
1761315707641647600,0.243647705078125,-0.17697569254040718,-0.12255027486979961,-0.11255138862589374
1761315707651629600,0.253629638671875,-0.11083762524425983,-0.1121983922034502,-0.14400975394062698
1761315707661611500,0.263611572265625,-0.006001870763301849,-0.1423560684494674,-0.13025283033745363
1761315707671594500,0.273594482421875,0.13379296889603137,-0.17982260640412567,-0.1131064104264602
1761315707681576700,0.28357666015625,0.2982470335155725,-0.19228563600555063,-0.11227377726091071
1761315707691559700,0.2935595703125,0.45367023493945596,-0.2549284085318446,-0.1472790396685712
1761315707701541600,0.303541748046875,0.580380552098155,-0.33278014836683867,-0.2018443407339044
1761315707711523800,0.31352392578125,0.636373657476902,-0.41454336255714297,-0.21415835378607734
1761315707721506600,0.323506591796875,0.613103841048479,-0.47914194532632826,-0.24418624790627508
1761315707731488800,0.33348876953125,0.5103957462459803,-0.5201644221968948,-0.29057980508962644
1761315707741470500,0.343470458984375,0.411938879147172,-0.5445321168646217,-0.3063643803291954
1761315707751453700,0.35345361328125,0.3719733639836311,-0.5498360684916377,-0.3096205143146217
1761315707761435600,0.363435546875,0.3710182552158832,-0.5140832025870681,-0.28481996292127293
1761315707771417600,0.37341748046875,0.35729718837738034,-0.4961924488484859,-0.23563458306230603
1761315707781400600,0.383400634765625,0.3443973747938871,-0.47305824149847026,-0.23355363033609464
1761315707791382800,0.3933828125,0.31800095077753066,-0.44038186042979355,-0.24632694972939786
1761315707801364700,0.40336474609375,0.3143652246236801,-0.4154484947033226,-0.2393285056767985
1761315707811347700,0.41334765625,0.31593525041937826,-0.4027446420833468,-0.2198289467683993
1761315707821329700,0.42332958984375,0.3351683586776256,-0.4023819462507963,-0.1909556660434231
1761315707831311600,0.4333115234375,0.3159410956382751,-0.4289502197027206,-0.1574510174570605
1761315707841294800,0.443294921875,0.24628537560999392,-0.480244645871222,-0.13906199534013866
1761315707851276500,0.453276611328125,0.13688275160491467,-0.5091859320648014,-0.10995532598439603
1761315707861258800,0.4632587890625,0.028943185889720915,-0.5265973778538405,-0.08276228996394201
1761315707871241500,0.473241455078125,-0.056819619330763814,-0.5344705954469741,-0.07869827366173267
1761315707881223700,0.4832236328125,-0.10594342346191406,-0.5208449518069624,-0.08579594030510633
1761315707891206000,0.493205810546875,-0.10881108785271644,-0.5421728403873741,-0.06956201386284083
1761315707901188600,0.503188720703125,-0.10614917516708373,-0.6157452954679727,-0.04747063009664416
1761315707911170800,0.5131708984375,-0.12762334035038947,-0.7183230418890714,-0.08426631958503275
1761315707921152500,0.523152587890625,-0.16619418628513813,-0.8026451467819511,-0.173819749260135
1761315707931135700,0.5331357421875,-0.1733142474234104,-0.8649507963083684,-0.2918281063839793
1761315707941117700,0.54311767578125,-0.17575696440041064,-0.9062203798078,-0.3652013856306672
1761315707951099600,0.553099609375,-0.20345044248998165,-0.9549981469802558,-0.4190229191239923
1761315707961082600,0.56308251953125,-0.23060265330970287,-1.0006113126419485,-0.44776221647206693
1761315707971064600,0.573064697265625,-0.2132815161526203,-1.0128151067852973,-0.4458680367559194
1761315707981046800,0.583046875,-0.14823416670262812,-0.9988761594124138,-0.41684338312782343
1761315707991029800,0.59302978515625,-0.045641222712397574,-1.0019516213349997,-0.36379703525807705
1761315708001011700,0.60301171875,0.09964753818809985,-1.0065478630840778,-0.2742171194348484
1761315708010993700,0.61299365234375,0.2755740139365196,-1.008665147498995,-0.21542612696588037
1761315708020977000,0.622976806640625,0.44450843884050845,-1.030694316216558,-0.14478946960885078
1761315708030958600,0.63295849609375,0.5965449204355477,-1.0811210196398198,-0.08653141497280448
1761315708040940800,0.64294091796875,0.7424772399365902,-1.1332558421552181,-0.058439512150175864
1761315708050923500,0.652923583984375,0.8308633793979883,-1.1994541152060032,-0.022899448746070264
1761315708060905700,0.66290576171875,0.9458306517928838,-1.2462265339054166,0.009961860435456037
1761315708070887700,0.6728876953125,1.0347206491231917,-1.293574852796644,0.030194135798886416
1761315708080870700,0.68287060546875,1.0695774429708718,-1.3676494121804832,0.03956150093991309
1761315708090852900,0.692852783203125,1.0663269167423248,-1.427509129859507,0.06357281991802155
1761315708100834600,0.70283447265625,1.0892705699563026,-1.4565579680807887,0.09977043391540646
1761315708110817800,0.71281787109375,1.1261989093810318,-1.4615440859302877,0.13685016450956464
1761315708120799700,0.7227998046875,1.1383072803258896,-1.483623231269419,0.19853497872389853
1761315708130781700,0.73278173828125,1.0577782841056584,-1.5177927735053003,0.30086518012471497
1761315708140764700,0.7427646484375,0.9408850120842456,-1.525214594069123,0.36218291459232566
1761315708150747000,0.752746826171875,0.8088444398134946,-1.5135231333620844,0.39866665205471213
1761315708160728600,0.762728515625,0.6547036794155836,-1.4834621954888105,0.4513021906338632
1761315708170711800,0.7727119140625,0.5109077874213457,-1.4445079031944275,0.5299112516421824
1761315708180693800,0.78269384765625,0.37235856390893457,-1.4000804401859641,0.6002882716823369
1761315708190675700,0.79267578125,0.2603793674141168,-1.3401223766990005,0.6468735703118145
1761315708200658700,0.80265869140625,0.15372224272489546,-1.2711390029743312,0.6842376708053052
1761315708210640600,0.812640625,0.014946224719285963,-1.2249740486487746,0.7303743488844484
1761315708220623600,0.82262353515625,-0.132715695053339,-1.1969621522597969,0.768334880901128
1761315708230605800,0.832605712890625,-0.24450375289022921,-1.172091914897412,0.7854848992750049
1761315708240587800,0.842587890625,-0.30220541575253007,-1.1501358114160596,0.8072155234374105
1761315708250570800,0.85257080078125,-0.31467326765954495,-1.129138908355683,0.8342913810852914
1761315708260552700,0.862552734375,-0.2673684956490993,-1.1028155495755374,0.858677707388252
1761315708270534700,0.87253466796875,-0.16636194406747817,-1.106503590438515,0.8648431712154299
1761315708280518000,0.882517822265625,-0.023686580535769462,-1.145876254275441,0.8672431450292467
1761315708290499600,0.89249951171875,0.10833177990317344,-1.203836860334873,0.8715057709097862
1761315708300481800,0.902481689453125,0.24849369930922985,-1.250894671846926,0.8534498166721314
1761315708310464800,0.91246484375,0.40342999399900437,-1.2992299559488891,0.8323509876072406
1761315708320446700,0.92244677734375,0.5315893409222364,-1.3337848442405462,0.8339894755292684
1761315708330429000,0.932428955078125,0.6410942562580109,-1.381329854747653,0.8802848513014614
1761315708340411600,0.94241162109375,0.7591010424792766,-1.4156129403606057,0.9468442127496004
1761315708350393900,0.952393798828125,0.8517138597249985,-1.4543202721565962,0.9856145267792046
