time,seconds_elapsed,z,y,x
1761379581804911400,0.099911376953125,-0.3766780197620392,0.4059722423553467,-0.30696478486061096
1761379581814938600,0.109938720703125,-0.3951638638973236,0.4411785900592804,-0.297838419675827
1761379581824962600,0.119962646484375,-0.3775107264518738,0.43365103006362915,-0.2681778371334076
1761379581834988800,0.12998876953125,-0.3306466341018677,0.3691338002681732,-0.2425641268491745
1761379581845015300,0.140015380859375,-0.28218376636505127,0.2430470883846283,-0.23262174427509308
1761379581855041000,0.150041015625,-0.2528895437717438,0.036255549639463425,-0.21566806733608246
1761379581865055700,0.1600556640625,-0.2577524781227112,-0.20982255041599274,-0.17444965243339539
1761379581875082000,0.17008203125,-0.2820838391780853,-0.3981282413005829,-0.09259571135044098
1761379581885108200,0.180108154296875,-0.28974464535713196,-0.4659096300601959,0.023265505209565163
1761379581895150600,0.190150634765625,-0.277504026889801,-0.4580323398113251,0.1274689882993698
1761379581905185800,0.200185791015625,-0.25850191712379456,-0.409186452627182,0.18284322321414948
1761379581915187700,0.210187744140625,-0.23240524530410767,-0.3138428330421448,0.18554115295410156
1761379581925224200,0.22022412109375,-0.20672492682933807,-0.19060394167900085,0.14836964011192322
1761379581935273700,0.230273681640625,-0.19488398730754852,-0.0745595321059227,0.08360259979963303
1761379581945296000,0.2402958984375,-0.19436772167682648,-0.0013323123566806316,-0.00018319295486435294
1761379581955311400,0.250311279296875,-0.18657369911670685,-0.00039969373028725386,-0.0754588395357132
1761379581965348000,0.26034814453125,-0.16214241087436676,-0.04951205849647522,-0.12129038572311401
1761379581975374000,0.2703740234375,-0.1269027590751648,-0.1083003431558609,-0.1340639293193817
1761379581985399800,0.28039990234375,-0.10243816673755646,-0.14763686060905457,-0.1222563162446022
1761379581995426000,0.290426025390625,-0.0985078439116478,-0.15916137397289276,-0.09579326212406158
1761379582005452300,0.300452392578125,-0.10790064930915833,-0.15817879140377045,-0.061935871839523315
1761379582015478000,0.31047802734375,-0.1236385926604271,-0.15371553599834442,-0.028661370277404785
1761379582025504000,0.32050390625,-0.13756124675273895,-0.15909475088119507,-0.0054624807089567184
1761379582035530200,0.3305302734375,-0.15081776678562164,-0.17733077704906464,0.005895482376217842
1761379582045556500,0.340556396484375,-0.1661893129348755,-0.19421783089637756,0.008143759332597256
1761379582055582200,0.350582275390625,-0.19013762474060059,-0.20925632119178772,0.004146822262555361
1761379582065608400,0.3606083984375,-0.2168005257844925,-0.2526230812072754,0.00009992343257181346
1761379582075634400,0.370634521484375,-0.2395830750465393,-0.3370583653450012,0.0017653139075264335
1761379582085640000,0.380639892578125,-0.24572835862636566,-0.4221764802932739,0.024331355467438698
1761379582095686400,0.390686279296875,-0.23230531811714172,-0.4669588506221771,0.06017055734992027
1761379582105677600,0.400677490234375,-0.20724119246006012,-0.4548514485359192,0.09620960801839828
1761379582115738600,0.410738525390625,-0.17579862475395203,-0.40234169363975525,0.11559475213289261
1761379582125749800,0.420749755859375,-0.13719487190246582,-0.3288480043411255,0.09875765442848206
1761379582135796500,0.43079638671875,-0.09366156160831451,-0.246660977602005,0.04050229489803314
1761379582145816800,0.44081689453125,-0.05649004504084587,-0.1421743780374527,-0.032758232206106186
1761379582155843600,0.450843505859375,-0.033507656306028366,-0.006728177424520254,-0.09814146161079407
1761379582165869000,0.460869140625,-0.025064127519726753,0.1258702129125595,-0.15747933089733124
1761379582175896000,0.47089599609375,-0.02651301585137844,0.2184825837612152,-0.22169677913188934
1761379582185922800,0.4809228515625,-0.0283949077129364,0.25745272636413574,-0.27453961968421936
1761379582195951600,0.49095166015625,-0.031409263610839844,0.2533392012119293,-0.3020019233226776
1761379582205973200,0.50097314453125,-0.035805895924568176,0.22362864017486572,-0.3008694350719452
1761379582215999200,0.510999267578125,-0.03900344669818878,0.1724511831998825,-0.28606411814689636
1761379582226024700,0.521024658203125,-0.03335777297616005,0.10370386391878128,-0.2717917263507843
1761379582236051000,0.531051025390625,-0.01950172334909439,0.02809513732790947,-0.27125880122184753
1761379582246077200,0.5410771484375,-0.0054624807089567184,-0.04413284733891487,-0.2785198986530304
1761379582256068400,0.551068359375,0.010775076225399971,-0.08423545211553574,-0.2621990740299225
1761379582266129400,0.56112939453125,0.027478942647576332,-0.07231125235557556,-0.21018894016742706
1761379582276159200,0.5711591796875,0.03723813220858574,-0.04008594900369644,-0.14587154984474182
1761379582286163700,0.581163818359375,0.04266730323433876,-0.029943721368908882,-0.08403560519218445
1761379582296197400,0.591197265625,0.04699731990695,-0.047030627727508545,-0.025197358801960945
1761379582306212900,0.601212890625,0.04588150605559349,-0.0819205567240715,0.0308929942548275
1761379582316261600,0.61126171875,0.041767992079257965,-0.1210738867521286,0.09371152520179749
1761379582326264300,0.621264404296875,0.04230091720819473,-0.15817879140377045,0.1782800555229187
1761379582336311600,0.6313115234375,0.03975287079811096,-0.19561676681041718,0.30353406071662903
1761379582346337800,0.641337890625,0.026696208864450455,-0.25343912839889526,0.47008976340293884
1761379582356363300,0.65136328125,-0.008210374973714352,-0.33697509765625,0.6537656784057617
1761379582366389200,0.66138916015625,-0.04842955619096756,-0.4257737398147583,0.8177733421325684
1761379582376415700,0.671415771484375,-0.07607503980398178,-0.5397197604179382,0.9498388171195984
1761379582386442800,0.68144287109375,-0.08548448979854584,-0.6384108066558838,1.0533428192138672
1761379582396469800,0.6914697265625,-0.09724214673042297,-0.7163843512535095,1.134297490119934
