time,seconds_elapsed,z,y,x
1761380230171514600,0.1005146484375,-0.0009825803572311997,0.0989241972565651,-0.038270674645900726
1761380230181517000,0.11051708984375,-0.003563935635611415,0.02926091104745865,-0.013906010426580906
1761380230191542300,0.120542236328125,-0.011724349111318588,-0.04691404849290848,0.024714395403862
1761380230201588500,0.13058837890625,-0.002797855995595455,-0.10560241341590881,0.06694869697093964
1761380230211614000,0.140614013671875,0.013389739207923412,-0.13869372010231018,0.09364490956068039
1761380230221630700,0.150630615234375,0.03743797913193703,-0.1418246477842331,0.0897645503282547
1761380230231670800,0.1606708984375,0.06614930927753448,-0.12846821546554565,0.05457484722137451
1761380230241690600,0.170690673828125,0.0901808962225914,-0.09151320904493332,0.0022482771892100573
1761380230251704800,0.180704833984375,0.10118912905454636,-0.037254784256219864,-0.05410853773355484
1761380230261742300,0.190742431640625,0.09770845621824265,0.011124808341264725,-0.09887423366308212
1761380230271767800,0.200767822265625,0.09133001416921616,0.037088245153427124,-0.12160681188106537
1761380230281793000,0.21079296875,0.09166309237480164,0.04048564285039902,-0.12497090548276901
1761380230291808000,0.22080810546875,0.09634283930063248,0.002881125546991825,-0.11646075546741486
1761380230301844700,0.2308447265625,0.08172070980072021,-0.06490026414394379,-0.1037871316075325
1761380230311869700,0.24086962890625,0.06183594837784767,-0.1279352903366089,-0.07312729954719543
1761380230321895700,0.250895751953125,0.04346669092774391,-0.14637117087841034,-0.025313936173915863
1761380230331905300,0.2609052734375,0.030176876112818718,-0.12357197701931,0.024664433673024178
1761380230341947400,0.270947509765625,0.02421477809548378,-0.07868970185518265,0.05619027465581894
1761380230351975200,0.28097509765625,0.02125038206577301,-0.025030819699168205,0.056473392993211746
1761380230361997800,0.290997802734375,0.01690371334552765,0.02726244181394577,0.03535623848438263
1761380230372016000,0.30101611328125,0.01450555119663477,0.06516672670841217,0.011657733470201492
1761380230382051600,0.311051513671875,0.02651301585137844,0.11492859572172165,-0.00011657733557512984
1761380230392076000,0.321075927734375,0.046447739005088806,0.17026951909065247,-0.0026979325339198112
1761380230402089200,0.331089111328125,0.062352221459150314,0.170719176530838,-0.00962595734745264
1761380230412125000,0.341125,0.08177067339420319,0.12876799702644348,-0.016054363921284676
1761380230422130000,0.3511298828125,0.10666826367378235,0.07269429415464401,-0.018802259117364883
1761380230432176400,0.36117626953125,0.11890888214111328,-0.00841022189706564,-0.03189222887158394
1761380230442208500,0.37120849609375,0.10820041596889496,-0.08433537185192108,-0.05778905004262924
1761380230452219100,0.38121923828125,0.07334379851818085,-0.11374616622924805,-0.08202048391103745
1761380230462256000,0.391256103515625,0.024397971108555794,-0.09615964442491531,-0.1074676513671875
1761380230472273700,0.401273681640625,-0.018069487065076828,-0.04543185234069824,-0.12915103137493134
1761380230482299600,0.411299560546875,-0.03740467131137848,0.027878636494278908,-0.13832733035087585
1761380230492332800,0.421332763671875,-0.037471286952495575,0.08811581134796143,-0.13203215599060059
1761380230502346800,0.4313466796875,-0.021217074245214462,0.12117381393909454,-0.10631852596998215
1761380230512383000,0.441383056640625,0.011324655264616013,0.14104191958904266,-0.060353752225637436
1761380230522407200,0.4514072265625,0.04967859759926796,0.1453719288110733,-0.009992342442274094
1761380230532438500,0.4614384765625,0.0877494215965271,0.1216234639286995,0.036555320024490356
1761380230542447000,0.471447021484375,0.12144027650356293,0.09157982468605042,0.08100458979606628
1761380230552483800,0.48148388671875,0.14783671498298645,0.07024616748094559,0.1251041293144226
1761380230562510600,0.491510498046875,0.15844525396823883,0.05069448798894882,0.16031049191951752
1761380230572526600,0.501526611328125,0.15241654217243195,0.037637826055288315,0.1861240416765213
1761380230582561800,0.511561767578125,0.13236524164676666,0.042317572981119156,0.1969490796327591
1761380230592587000,0.5215869140625,0.10941615700721741,0.05139394849538803,0.18697339296340942
1761380230602602000,0.53160205078125,0.09422779083251953,0.058388590812683105,0.15659666061401367
1761380230612637700,0.5416376953125,0.09166309237480164,0.06396764516830444,0.11143127828836441
1761380230622642700,0.551642578125,0.09271229058504105,0.06515007466077805,0.055923812091350555
1761380230632690000,0.56168994140625,0.08876531571149826,0.054291728883981705,-0.003647205187007785
1761380230642704100,0.5717041015625,0.08082140237092972,0.031742341816425323,-0.058838244527578354
1761380230652741000,0.5817412109375,0.069280244410038,0.020600879564881325,-0.0910802036523819
1761380230662756400,0.59175634765625,0.05122740939259529,0.014139165170490742,-0.09730876237154007
1761380230672770300,0.601770263671875,0.03474004566669464,0.0007327718194574118,-0.08207044005393982
1761380230682830600,0.61183056640625,0.03125938028097153,-0.003147588111460209,-0.05111083388328552
1761380230692843800,0.62184375,0.041268374770879745,0.011308001354336739,-0.013189892284572124
1761380230702868700,0.63186865234375,0.056306853890419006,0.027079248800873756,0.022949080914258957
1761380230712894200,0.641894287109375,0.0724777951836586,0.032874807715415955,0.0547746941447258
1761380230722920700,0.651920654296875,0.08778273314237595,0.02346535213291645,0.08075478672981262
1761380230732946200,0.6619462890625,0.09497722238302231,0.007943912409245968,0.09197951853275299
1761380230742972700,0.67197265625,0.10400363802909851,0.006478368770331144,0.08924827724695206
1761380230752991200,0.6819912109375,0.12044104188680649,0.010425344109535217,0.07589184492826462
1761380230763025000,0.69202490234375,0.14463916420936584,0.0022316232789307833,0.06048698350787163
